= ILMOIT
D14,100001,Aalto Onni,AAA,200001,2011,FIN,1,10.00
D14,100002,Nieminen Sofia,AAB,200002,2011,FIN,1,10.00
D14,100003,Hakkinen Aada,AAC,200003,2011,FIN,1,10.00
D14,100004,Nieminen Onni,AAB,200004,2012,FIN,1,10.00
H14,100005,Makinen Emma,AAB,200005,2011,FIN,1,10.00
H12,100006,Jarvinen Helmi,AAD,200006,2013,FIN,1,10.00
H14,100007,Jarvinen Aada,AAE,200007,2011,FIN,1,10.00
H12TR,100008,Aalto Saimi,AAE,200008,2013,FIN,1,10.00
D12TR,100009,Saarinen Leo,AAD,200009,2014,FIN,1,10.00
D12,100010,Lehtinen Leo,AAC,200010,2014,FIN,1,10.00
D10RR,100011,Virtanen Aino,AAE,200011,2015,FIN,1,10.00
H12,100012,Korhonen Leo,AAA,200012,2014,FIN,1,10.00
D10,100013,Korhonen Elias,AAA,0,2016,FIN,1,10.00
D15-18,100014,Makinen Eero,AAE,200013,2007,FIN,1,10.00
D14,100015,Nieminen Saimi,AAB,200014,2011,FIN,1,10.00
D10,100016,Saarinen Vaino,AAE,200015,2015,FIN,1,10.00
D12,100017,Lehtinen Lilja,AAA,200016,2013,FIN,1,10.00
D14,100018,Hakkinen Eero,AAE,200017,2011,FIN,1,10.00
H14,100019,Virtanen Leo,AAE,0,2012,FIN,1,10.00
D12TR,100020,Tamminen Emma,AAE,0,2014,FIN,1,10.00
D12,100021,Salminen Aino,AAE,200018,2014,FIN,1,10.00
D8RR,100022,Jarvinen Emma,AAD,200019,2017,FIN,1,10.00
D12,100023,Lehtinen Lilja,AAE,200020,2014,FIN,1,10.00
H10RR,100024,Koskinen Lilja,AAE,0,2016,FIN,1,10.00
H10RR,100025,Makinen Lilja,AAB,200021,2015,FIN,1,10.00
H12,100026,Rantanen Aada,AAA,200022,2014,FIN,1,10.00
H10RR,100027,Hakkinen Onni,AAE,200023,2015,FIN,1,10.00
H10RR,100028,Hakkinen Venla,AAE,200024,2015,FIN,1,10.00
H10RR,100029,Saarinen Otto,AAE,0,2016,FIN,1,10.00
H12,100030,Makinen Aino,AAA,200025,2013,FIN,1,10.00
D10RR,100031,Tamminen Otto,AAA,200026,2016,FIN,1,10.00
H8RR,100032,Tamminen Helmi,AAE,200027,2017,FIN,1,10.00
D12,100033,Lehtinen Saimi,AAE,200028,2013,FIN,1,10.00
H8RR,100034,Saarinen Otto,AAA,0,2018,FIN,1,10.00
H8RR,100035,Korhonen Otto,AAB,200029,2018,FIN,1,10.00
D8RR,100036,Makinen Sofia,AAE,0,2017,FIN,1,10.00
D10RR,100037,Laine Venla,AAE,0,2016,FIN,1,10.00
D8RR,100038,Koskinen Noel,AAD,0,2019,FIN,1,10.00
= LOPPU
